Feature,Importance
max_early_sentiment,0.32450599379594647
has_biological_tax,0.1440202069356798
min_early_sentiment,0.07632369317590225
has_great_lobster,0.07277610024864231
avg_early_sentiment,0.039798282816535954
has_lobster,0.006885394621302381
ttr,0.0019445213489993054
punctuation_density,0.001463956699088007
hapax,0.0013271940899237259
hour,0.0011603207415071184
forum_todayilearned,0.0006630448180740913
stopword_ratio,0.00047985163862059293
self_reference_rate,0.0002518107004066819
forum_technology,0.00019690846379592417
burstiness,0.00016795959589979606
hedging_score,0.00011112906561161907
forum_philosophy,6.780296836238665e-05
has_cryptographic,2.66408239074245e-05
has_process_daily,2.155713118659162e-05
has_ai_agent,2.008416122210773e-05
